osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w22705944,osm243551294,osm243551291,road,"National Forest Development Road 1540.link1"
w22705944,osm243551296,osm243551294,road,"National Forest Development Road 1540.link2"
w22705944,osm243551298,osm243551296,road,"National Forest Development Road 1540.link3"
w22705944,osm243551299,osm243551298,road,"National Forest Development Road 1540.link4"
w22705944,osm243551300,osm243551299,road,"National Forest Development Road 1540.link5"
w22705944,osm243551301,osm243551300,road,"National Forest Development Road 1540.link6"
w22705944,osm1953997273,osm243551301,road,"National Forest Development Road 1540.link7"
w22705944,osm243551303,osm1953997273,road,"National Forest Development Road 1540.link8"
w22705944,osm243551305,osm243551303,road,"National Forest Development Road 1540.link9"
w22705944,osm243551309,osm243551305,road,"National Forest Development Road 1540.link10"
w22705944,osm1953997274,osm243551309,road,"National Forest Development Road 1540.link11"
w22705944,osm243551311,osm1953997274,road,"National Forest Development Road 1540.link12"
w22705944,osm243551312,osm243551311,road,"National Forest Development Road 1540.link13"
w22705944,osm243551315,osm243551312,road,"National Forest Development Road 1540.link14"
w22705944,osm243551316,osm243551315,road,"National Forest Development Road 1540.link15"
w22705944,osm243551317,osm243551316,road,"National Forest Development Road 1540.link16"
w22705944,osm243551321,osm243551317,road,"National Forest Development Road 1540.link17"
w22705944,osm243551322,osm243551321,road,"National Forest Development Road 1540.link18"
w22705944,osm243551324,osm243551322,road,"National Forest Development Road 1540.link19"
w22705944,osm243551325,osm243551324,road,"National Forest Development Road 1540.link20"
w22705944,osm243551326,osm243551325,road,"National Forest Development Road 1540.link21"
w22705944,osm243551327,osm243551326,road,"National Forest Development Road 1540.link22"
w22705944,osm243551329,osm243551327,road,"National Forest Development Road 1540.link23"
w22705944,osm1953997276,osm243551329,road,"National Forest Development Road 1540.link24"
w22705944,osm1953997275,osm1953997276,road,"National Forest Development Road 1540.link25"
w22705944,osm1953997277,osm1953997275,road,"National Forest Development Road 1540.link26"
w22705944,osm1953997279,osm1953997277,road,"National Forest Development Road 1540.link27"
w22705944,osm1953997278,osm1953997279,road,"National Forest Development Road 1540.link28"
w22705944,osm243551330,osm1953997278,road,"National Forest Development Road 1540.link29"
w22705944,osm243551331,osm243551330,road,"National Forest Development Road 1540.link30"
w22705944,osm243551332,osm243551331,road,"National Forest Development Road 1540.link31"
w22705944,osm243551334,osm243551332,road,"National Forest Development Road 1540.link32"
w22705944,osm243551335,osm243551334,road,"National Forest Development Road 1540.link33"
w22705944,osm243551336,osm243551335,road,"National Forest Development Road 1540.link34"
w22705944,osm243551338,osm243551336,road,"National Forest Development Road 1540.link35"
w22705944,osm243551340,osm243551338,road,"National Forest Development Road 1540.link36"
w22705944,osm243551341,osm243551340,road,"National Forest Development Road 1540.link37"
w22705944,osm243551343,osm243551341,road,"National Forest Development Road 1540.link38"
w22705944,osm243551345,osm243551343,road,"National Forest Development Road 1540.link39"
w22705944,osm243551347,osm243551345,road,"National Forest Development Road 1540.link40"
w22705944,osm243551349,osm243551347,road,"National Forest Development Road 1540.link41"
w22705944,osm1953997280,osm243551349,road,"National Forest Development Road 1540.link42"
